Year,SettlementPoint,HourlyVolatility
2016,HB_BUSAVG,0.25755547409731244
2016,HB_HOUSTON,0.25792439895046704
2016,HB_HUBAVG,0.27146547288581735
2016,HB_NORTH,0.2463698661534949
2016,HB_SOUTH,0.259073342422018
2016,HB_WEST,0.3607968355041491
2016,HB_BUSAVG,0.30851336377524236
2016,HB_HOUSTON,0.2984865184357808
2016,HB_HUBAVG,0.320877302770405
2016,HB_NORTH,0.29990656151181083
2016,HB_SOUTH,0.30443084349113037
2016,HB_WEST,0.45722155503906103
2017,HB_BUSAVG,0.2666508713853495
2017,HB_HOUSTON,0.24768432291268616
2017,HB_HUBAVG,0.2900537017539794
2017,HB_NORTH,0.2584385016393253
2017,HB_SOUTH,0.261700730922985
2017,HB_WEST,0.8045032196944921
2017,HB_BUSAVG,0.32956876008563285
